Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.823,0.1388888888888889,0.8088235294117647,0.23706896551724138,0.9065811107051517,0.3805034740868751
Decision Tree,0.93,0.3125,0.8823529411764706,0.46153846153846156,0.9083241992449155,0.5322366007793523
Random Forest,0.935,0.33152173913043476,0.8970588235294118,0.48412698412698413,0.9575264888564121,0.5920770347078633
Gradient Boosting,0.9855,0.8421052631578947,0.7058823529411765,0.768,0.956502709779564,0.8248031090535376
